,Hotel name,Address,Price (avg/night),Facilities,Rating,Reviews,Likes
0,Dmatel Hotel And Resort PH,"Port Harcourt, Rivers - 91, Stadium Road, Rumuomasi",20000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",7.7 Very Good,46,"

3356"
1,Somitel Hotels And Resort Ltd,"Port Harcourt, Rivers - Campbell Avenue, Off Peter Odili Road, Trans- Amadi, ",17000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",7.2 Very Good,16,"

1846"
2,Polo Court ,"Port Harcourt, Rivers - 46 King Perekule Street, GRA Phase II",27000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,11,"

903"
3,De Edge Hotel,"Port Harcourt, Rivers - Plot 12, Location Road (By Mandela Car Wash), Tombia Extension, GRA Phase 3",31700,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,19,"

1226"
4,Base Hotels ,"Port Harcourt, Rivers - 33 NTA Rd, Mbuoba, Port Harcourt",5500,",Restaurant,
Bar

",6.4 Very Good,33,"

1520"
5,Novotel Port Harcourt,"Port Harcourt, Rivers - 3 Stadium Road, Rumuomasi",55000,",Restaurant,
Bar,
Gym

",7.0 Very Good,18,"

1725"
6,Golden Tulip Port Harcourt Hotel,"Port Harcourt, Rivers - 1C Evo Crescent, GRA Phase II",69569,",Internet,
Restaurant,
Pool,
Bar,
Gym

",7.2 Very Good,4,"

1156"
7,Goldfinger Hotels Limited,"Port Harcourt, Rivers - 86 Tombla Street Extension GRA A2 , Next To Manadela Car Wash",6000,",Internet,
Restaurant,
Bar

",6.9 Very Good,12,"

789"
8,Aldgate Congress Hotel,"Port Harcourt, Rivers - 308, Abacha Road. GRA Phase III",8000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",6.8 Very Good,14,"

2285"
9, Ogeyi Place Hotel (Formerly Le Meridien Ogeyi Place),"Port Harcourt, Rivers - 45 Tombia Street, GRA Phase II, ",85000,",Restaurant,
Bar

",no rating,6,"

650"
10,Best Western Hotel GRA,"Port Harcourt, Rivers - Plot F35 Woke Street, Off Sani Abacha Road, GRA 3, Port Harcourt, Rivers State, Nigeria",23000,",Restaurant,
Bar

",6.8 Very Good,3,"

395"
11,Swiss Spirit Hotel & Suites Danag,"Port Harcourt, Rivers - 79 Ken Saro Wiwa Stadium Road Port Harcourt",25200,",Pool

",no rating,1,"

555"
12,Clen-Phil Hotels And Suites,"Port Harcourt, Rivers - 68 Iwofe Road, Rumupirikom Town, Port Harcourt.",6000,",Restaurant,
Bar,
Gym

",7.4 Very Good,7,"

743"
13,Hotel Presidential,"Port Harcourt, Rivers - 5141 Aba Road, GRA Phase II",79200,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,13,"

1130"
14,Landmark Hotel,"Port Harcourt, Rivers - 4 Worlu Street,Off Oluobasanjon Road, D/line. GRA.",25000,",Internet,
Restaurant,
Pool,
Gym

",no rating,3,"

862"
15,Randolph Hotel And Resort,"Port Harcourt, Rivers - 101 Old Aba Road",13500,",Restaurant,
Pool,
Bar

",7.8 Very Good,10,"

564"
16,Chinwo Hotels Nigeria Limited,"Port Harcourt, Rivers - 5 Chukwu Odara Street, Behind St. Simon Church Okporo Road, Rumuodara, Obio Akpor",6000,",Restaurant,
Bar

",6.4 Very Good,5,"

302"
17,Emfas Bridge Hotel,"Port Harcourt, Rivers - Choba Road, Rumuekini",2000,",Restaurant,
Bar

",no rating,no review,"

185"
18,Maas Central Hotels,"Port Harcourt, Rivers - 23 Tombia Street GRA Phase II",18000,",Internet,
Restaurant,
Bar

",6.8 Very Good,4,"

672"
19,Tokyu Grand Hotel,"Port Harcourt, Rivers - Tokyu Grand Hotel Avenue, Off 22 Stadium Road",13160,",Restaurant

",no rating,no review,"

484"
20,Meritz Hotels ,"Port Harcourt, Rivers - 1A Acron Avenue, Off Stadium Road, GRA IV, Port-Harcourt.",17000,",Internet,
Restaurant,
Bar

",6.8 Very Good,1,"

239"
21,Echelon Heights Hotel,"Port Harcourt, Rivers - No 73 Ken Sarowiwa Road (formerly Stadium Road) ",54450,",Internet,
Restaurant,
Bar

",no rating,no review,"

365"
22,Tiffany Hotels ,"Port Harcourt, Rivers - 1 Tiffany Hotel Avenue, Near The Airport Hotel, Omagwa",16200,",Restaurant,
Pool,
Bar,
Gym

",7.0 Very Good,17,"

419"
23,Royal Castle Hotel,"Port Harcourt, Rivers - 96 Abel Jumbo St, Mile2 Diobu, Behind Azikiwe Police Station.",2500,",Restaurant,
Bar

",no rating,6,"

430"
24,De Christine Apartment Hotel By Canin Resources,"Port Harcourt, Rivers - Mirari Estate 12C Benjamin Okpara Street  G.R.A  Phase II Off Olu-Obasanjo Road",10000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",7.3 Very Good,8,"

465"
25,The Grosvenor Rooms And Suites ,"Port Harcourt, Rivers - 69 Evo Road GRA Phase II",14000,"
",no rating,3,"

304"
26,Sparklyn Hotels And Suit,"Port Harcourt, Rivers - 101B Brookstone Close, Off Prof Abowei St, GRA Phase 3",20000,",Restaurant,
Pool,
Bar,
Gym

",no rating,2,"

207"
27,Igoni Grand View Hotel,"Port Harcourt, Rivers - No 115 KM 25 Airport Road By Eligbolo Roundabout Rumuodomaya",12000,",Restaurant,
Pool,
Bar

",no rating,6,"

367"
28,Visa Karena Hotels ,"Port Harcourt, Rivers - 3D Wonodi Close, GRA Phase III, Off Olu Obasanjo Road",36000,",Restaurant,
Pool,
Bar,
Gym

",no rating,1,"

298"
29,Sasun Hotels,"Port Harcourt, Rivers - Plot 206, Trans Amadi Industrial Layout,",13000,",Internet,
Restaurant,
Bar,
Gym

",no rating,1,"

268"
30,Jopala Hotel,"Port Harcourt, Rivers - 1 Angel Crescent Off Chinec Road, Ada George.",8000,",Restaurant,
Pool,
Bar

",7.9 Very Good,6,"

307"
31,Ss3 Boutique Hotel,"Port Harcourt, Rivers - No 10 Raymond Morgan ,opposite Eterna Filling Station,odili Road, Port Harcourt",13000,",Internet,
Restaurant,
Pool,
Bar

",no rating,no review,"

324"
32,City Crown Hotels Limited,"Port Harcourt, Rivers - 58 Wimpey/Iwofe Road By Ada George Junction.",7000,",Restaurant,
Pool

",no rating,3,"

121"
33,Hotel De Marpat,"Port Harcourt, Rivers -  4 NTA-Apara Link Road, Opp. Rumuapara Secondary School, Off East-West Road",6000,",Internet,
Restaurant,
Pool

",6.8 Very Good,1,"

190"
34,Shell Gate Hotel ," Port Harcourt, Rivers - 27 Chief Wopara Street, Rumumasi, Port Harcourt.",6000,",Restaurant,
Bar

",7.0 Very Good,2,"

168"
35,Londa Hotel,"Port Harcourt, Rivers - 24B Wike/Orazi Road, Off Rumueme Market, Mile 4.",12000,",Restaurant,
Pool,
Bar,
Gym

",no rating,6,"

285"
36,L.A. Kings Hotel ,"Port Harcourt, Rivers - 31, Ken Saro Wiwa Rd (Formerly Stadium Road) Rumuomasi, Port Harcourt",38500,"
",no rating,no review,"

56"
37,VEE HOTEL & SUITES,"Port Harcourt, Rivers - 2 Chief Wonwu Avenue, Off Ordinance Road, Trans Amadi",14500,",Internet,
Restaurant,
Pool

",6.5 Very Good,8,"

372"
38,Blue Ribbon Suites Ltd,"Port Harcourt, Rivers - 304, Aba Road, Rumuokwurusi",10000,"
",6.4 Very Good,1,"

244"
39,Arriva Suites,"Port Harcourt, Rivers - 5 Chuku Close, Off Stadium Road GRA, Rumuomasi, Port Harcourt",13350,",Restaurant,
Bar

",no rating,2,"

462"
40,Coral Reef Hotel,"Port Harcourt, Rivers - 8 Orogbum Crescent, GRA Phase 2",12000,",Internet,
Restaurant,
Bar

",7.5 Very Good,9,"

486"
41,Jora Hotels,"Port Harcourt, Rivers - 1A Egelege Street (Khana Close) Off Olu Obasanjo Road, ",8000,",Internet,
Restaurant,
Bar

",no rating,3,"

99"
42,Berenice Hotels Limited,"Port Harcourt, Rivers - 3 Amadi Lane, East West Road, Rumuodara, Obio Akpor",5000,",Bar

",no rating,no review,"

92"
